qid,query
1,smudge free eyeliner
2,moisturiser for sensitive skin
3,all skin type foundation
4,cruelty free lipstick red
5,smudge free kohl
6,waterproof lipstick
7,all in one foundation concealer
8,soft nudes eyeshadow palette
9,red nailpaints set
10,long lasting lipstick
11,eyebrow pencil set multiple size
12,smudge free nailpaint
13,highlighting moisturizer
14,smoky eyeshadow palette
15,best bridal makeup products
16,bronzer palette for dark skin
17,light blush palette
18,cruelty free mascara
19,mascara eyeliner kohl set
20,full makeup set
