qid,query
1,facewash for oily skin
2,concealer stick
3,cruelty free foundation
4,gel nail kit
5,frizzy hair conditioner
6,waterproof eyeshadow
7,blush and highlighter palette
8,waterproof liquid eyeliner
9,matte eyeshadow palette
10,lip liner and lipstick set
11,nude lipstick
12,skin care sets & kits
13,anti aging serum
14,vitamin c serum for face dark spots
15,bronzer stick contour
16,mascara black volume and length
17,primer face makeup pore minimizer
18,moisturizer with spf for acne prone skin
19,sunscreen for face dry skin
20,facewash with salicylic acid
21,compact powder makeup
22,hair mask for dry damaged hair and growth
23,retinol cream for face with hyaluronic acid
24,mascara for sensitive eyes
25,lip balm for dry cracked lips
26,anti frizz serum for curly hair
27,non toxic nail polish set
28,shampoo and conditioner set sulfate free
29,night cream for women anti aging
30,paraben and sulfate free hairspray
31,moisturizer face cream for oily skin
32,face mask for blackheads and pores
33,foundation full coverage
34,shampoo for color treated hair
35,face mask for acne
36,conditioner for dry hair
37,cruelty free body lotion
38,shampoo for thinning hair and hair loss
39,fragrance free body wash
40,body lotion for dry skin
41,smudge free eyeliner
42,moisturiser for sensitive skin
43,all skin type foundation
44,cruelty free lipstick red
45,smudge free kohl
46,waterproof lipstick
47,all in one foundation concealer
48,soft nudes eyeshadow palette
49,red nailpaints set
50,long lasting lipstick
51,eyebrow pencil set multiple size
52,smudge free nailpaint
53,highlighting moisturizer
54,smoky eyeshadow palette
55,best bridal makeup products
56,bronzer palette for dark skin
57,light blush palette
58,cruelty free mascara
59,mascara eyeliner kohl set
60,full makeup set
